year,month,carrier,airport,delay_rate,cancel_rate,divert_rate,total_delay_minutes
2025,7,MQ,MSO,0.3115,0.0164,0.0,1204.0
2025,7,MQ,MSP,0.3441,0.0215,0.0215,2017.0
2025,7,MQ,MSY,0.2626,0.0,0.0101,1160.0
2025,7,MQ,MVY,0.125,0.0,0.0,56.0
2025,7,MQ,MYR,0.2308,0.0256,0.0,572.0
2025,7,MQ,OKC,0.2074,0.0276,0.0,2176.0
2025,7,MQ,OMA,0.3488,0.0116,0.0,1332.0
2025,7,MQ,ORF,0.2727,0.0,0.0,558.0
2025,7,MQ,PHX,0.1688,0.0031,0.0016,6675.0
2025,7,MQ,PIA,0.4066,0.022,0.0,1862.0
2025,7,MQ,PIT,0.1333,0.0,0.0,136.0
2025,7,MQ,PNS,0.2588,0.0176,0.0,2236.0
2025,7,MQ,PVD,0.2778,0.037,0.0,915.0
2025,7,MQ,PWM,0.0,0.0,0.0,0.0
2025,7,MQ,RAP,0.2392,0.0048,0.0,2498.0
2025,7,MQ,RDM,0.0968,0.0,0.0,333.0
2025,7,MQ,RDU,0.2833,0.1333,0.0,1021.0
2025,7,MQ,RIC,0.0,0.0,0.0,0.0
2025,7,MQ,ROC,0.1778,0.0111,0.0,1015.0
2025,7,MQ,SAT,0.2328,0.0172,0.0086,1205.0
2025,7,MQ,SAV,0.1458,0.0208,0.0,334.0
2025,7,MQ,SBA,0.24,0.04,0.0,221.0
2025,7,MQ,SDF,0.1844,0.0142,0.0,1685.0
2025,7,MQ,SEA,0.2281,0.0,0.0,530.0
2025,7,MQ,SGF,0.2542,0.019,0.0,5883.0
2025,7,MQ,SHV,0.1765,0.0,0.0,212.0
2025,7,MQ,SJC,0.0667,0.0,0.0,79.0
2025,7,MQ,SLC,0.2353,0.0,0.0,400.0
2025,7,MQ,SPI,0.1111,0.0,0.0,281.0
2025,7,MQ,SRQ,0.25,0.0,0.0,17.0
2025,7,MQ,STL,0.1923,0.0077,0.0077,1598.0
2025,7,MQ,SYR,0.3534,0.0862,0.0,2505.0
2025,7,MQ,TLH,0.1957,0.0,0.0,699.0
2025,7,MQ,TPA,0.2308,0.0,0.0,2286.0
2025,7,MQ,TRI,0.2097,0.0161,0.0161,683.0
2025,7,MQ,TUL,0.2282,0.0207,0.0,2854.0
2025,7,MQ,TUS,0.0638,0.0,0.0213,234.0
2025,7,MQ,TVC,0.1429,0.0,0.0,166.0
2025,7,MQ,TXK,0.1935,0.0323,0.0,425.0
2025,7,MQ,TYR,0.3478,0.0217,0.0,2815.0
2025,7,MQ,TYS,0.0,0.0,0.0,0.0
2025,7,MQ,VPS,0.25,0.0,0.0,21.0
2025,7,MQ,XNA,0.2325,0.034,0.0113,6922.0
2025,7,NK,ABQ,0.1111,0.0,0.0,41.0
2025,7,NK,ACY,0.1909,0.0124,0.0,3243.0
2025,7,NK,ATL,0.2975,0.0126,0.0028,16136.0
2025,7,NK,AUS,0.2121,0.0101,0.0101,1553.0
2025,7,NK,BDL,0.1667,0.0,0.0,1201.0
2025,7,NK,BHM,0.2258,0.0645,0.0,836.0
2025,7,NK,BNA,0.2397,0.0221,0.0063,5295.0
2025,7,NK,BOI,0.25,0.0,0.0,81.0
2025,7,NK,BOS,0.3518,0.0228,0.0,9468.0
2025,7,NK,BUR,0.0965,0.0175,0.0,664.0
2025,7,NK,BWI,0.3302,0.0302,0.0057,13943.0
2025,7,NK,CAE,0.1163,0.0233,0.0233,806.0
2025,7,NK,CHA,0.1489,0.0,0.0213,769.0
2025,7,NK,CHS,0.2364,0.0364,0.0,621.0
2025,7,NK,CLE,0.2593,0.0,0.0,750.0
2025,7,NK,CLT,0.2045,0.017,0.0,6263.0
2025,7,NK,CMH,0.2922,0.0325,0.0,3336.0
2025,7,NK,DFW,0.2154,0.009,0.0015,12324.0
2025,7,NK,DTW,0.2369,0.0161,0.0034,23128.0
2025,7,NK,EWR,0.3674,0.0606,0.0108,24280.0
2025,7,NK,FLL,0.2175,0.0156,0.0029,32618.0
2025,7,NK,IAH,0.2616,0.0284,0.003,15980.0
2025,7,NK,IND,0.2062,0.0312,0.0062,2799.0
2025,7,NK,LAS,0.175,0.0129,0.0007,19069.0
2025,7,NK,LAX,0.1412,0.0081,0.0,6258.0
2025,7,NK,LBE,0.2059,0.0,0.0,458.0
2025,7,NK,LGA,0.2987,0.0531,0.0133,11339.0
2025,7,NK,MCI,0.1504,0.0088,0.0088,1008.0
2025,7,NK,MCO,0.2704,0.0129,0.0043,33446.0
2025,7,NK,MEM,0.2273,0.0114,0.0,1933.0
2025,7,NK,MIA,0.2697,0.0182,0.0,5493.0
2025,7,NK,MKE,0.1806,0.0139,0.0,888.0
2025,7,NK,MSP,0.175,0.025,0.0,342.0
2025,7,NK,MSY,0.2659,0.0173,0.0,7662.0
2025,7,NK,MYR,0.2768,0.0235,0.0,9139.0
2025,7,NK,OAK,0.2524,0.0097,0.0,1292.0
2025,7,NK,ORD,0.2741,0.0212,0.0019,11967.0
2025,7,NK,ORF,0.3452,0.0357,0.0119,1381.0
2025,7,NK,PBI,0.0741,0.0,0.0,101.0
2025,7,NK,PDX,0.1207,0.0,0.0,223.0
2025,7,NK,PHL,0.3069,0.0289,0.0036,7058.0
2025,7,NK,PHX,0.093,0.0,0.0,285.0
2025,7,NK,PIT,0.2158,0.0144,0.0,2805.0
2025,7,NK,PNS,0.1961,0.0196,0.0,1705.0
2025,7,NK,RDU,0.3034,0.0562,0.0,2562.0
2025,7,NK,RIC,0.2586,0.0,0.0172,646.0
2025,7,NK,RNO,0.082,0.0164,0.0,351.0
2025,7,NK,ROC,0.28,0.0,0.0,943.0
2025,7,NK,RSW,0.2208,0.0,0.0,1285.0
2025,7,NK,SAN,0.2158,0.0144,0.0,1606.0
2025,7,NK,SAT,0.2,0.0061,0.0,2324.0
2025,7,NK,SDF,0.2571,0.0095,0.0,1286.0
2025,7,NK,SEA,0.0645,0.0,0.0,67.0
2025,7,NK,SJC,0.2222,0.0,0.0,1375.0
2025,7,NK,SJU,0.3785,0.0166,0.0,7296.0
2025,7,NK,SLC,0.1628,0.0,0.0,356.0
2025,7,NK,SMF,0.0984,0.0492,0.0,492.0
